user_id,time,food,calories,photo_path
322294128,2025-05-11 12:29,2 medjool dates with peanut butter,180,
322294128,2025-05-11 12:29,Collagen coffee with low fat milk,113,
322294128,2025-05-11 12:29,2 scrambled eggs,165,
